text,emotion,severity,intent,context,response
Sometimes I feel anger any without reason,anger,high,general,work,It might help to take a break and relax.
Everything feels overwhelming my work,sadness,high,vent,work,Consider talking to someone you trust.
don't know how to handle this sadness anymore,sadness,medium,crisis,social,Try taking small steps to manage your situation.
Everything feels overwhelming my study,sadness,medium,crisis,study,It sounds like you're going through something difficult.
Sometimes I feel anger without any reason,anger,low,help,work,It sounds like you're going through something difficult.
Sometimes I feel anger without any reason,anger,low,help,study,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my study,neutral,medium,crisis,study,"You are not alone, and it's okay to seek help."
Sometimes I feel sadness any without reason,sadness,medium,crisis,study,Consider talking to someone you trust.
I medium feel levels of downness recently,sadness,medium,crisis,health,Seeking professional support could be beneficial.
Everything feels overwhelming in study my,sadness,medium,information,study,It might help to take a break and relax.
my family has been causing me stress,stress,low,crisis,family,It might help to take a break and relax.
Lately my family has been causing me sadness,sadness,low,information,family,Try taking small steps to manage your situation.
I feel low levels of anxiety,anxiety,low,general,study,It might help to take a break and relax.
I know don't how to handle this sadness anymore,sadness,low,help,family,"You are not alone, and it's okay to seek help."
I feel unhappyness because of health,sadness,low,information,health,It sounds like you're going through something difficult.
I feel unhappyness of my family,sadness,medium,vent,family,It sounds like you're going through something difficult.
I feel stress because of my study,stress,high,crisis,study,Try taking small steps to manage your situation.
Lately my health has been causing sadness me,sadness,medium,vent,health,Consider talking to someone you trust.
I feel levels low of anger recently,anger,low,vent,study,It might help to take a break and relax.
Lately my health has been causing me sadness,sadness,medium,crisis,health,Consider talking to someone you trust.
I don't know to how handle this anxiety anymore,anxiety,medium,crisis,family,Try taking small steps to manage your situation.
I feel medium levels of recently anxiety,anxiety,medium,information,health,It sounds like you're going through something difficult.
Lately my study has causing me stress,stress,medium,information,study,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my work,sadness,medium,information,work,"You are not alone, and it's okay to seek help."
I am dealing with anger and it is high,anger,high,vent,work,It might help to take a break and relax.
My situation study is making me anger,anger,low,vent,study,It sounds like you're going through something difficult.
I sadness feel because of my social,sadness,low,help,social,Consider talking to someone you trust.
I don't know to how handle this anger anymore,anger,medium,general,work,Seeking professional support could be beneficial.
Everything feels overwhelming in family,anger,high,information,family,It sounds like you're going through something difficult.
am I dealing with stress and it is getting high,stress,high,vent,health,It sounds like you're going through something difficult.
Lately my study has causing been me downness,sadness,medium,vent,study,It sounds like you're going through something difficult.
Everything feels overwhelming in my social,sadness,high,vent,social,Try taking small steps to manage your situation.
Sometimes I feel stress without any reason,stress,low,general,health,It might help to take a break and relax.
I feel neutral because of my health,neutral,high,information,health,It might help to take a break and relax.
My social situation is making me feel stress,stress,low,general,social,It sounds like you're going through something difficult.
I don't know how to handle this stress anymore,anxiety,high,information,family,"You are not alone, and it's okay to seek help."
I am dealing with neutral and is getting medium,neutral,medium,general,study,It might help to take a break and relax.
Sometimes I feel unhappyness without any reason,sadness,medium,help,health,Try taking small steps to manage your situation.
Lately my family has been causing me downness,sadness,low,vent,family,It might help to take a break and relax.
Lately my social has been causing me stress,stress,low,help,social,"You are not alone, and it's okay to seek help."
Lately my health has been causing me neutral,neutral,medium,information,health,Consider talking to someone you trust.
Everything overwhelming in my health,anger,medium,crisis,health,"You are not alone, and it's okay to seek help."
I don't know how to handle anymore nervous,anxiety,medium,help,family,"You are not alone, and it's okay to seek help."
I with dealing anxiety and it is getting medium,anxiety,medium,crisis,social,Try taking small steps to manage your situation.
I feel low of levels neutral recently,neutral,low,help,health,Try taking small steps to manage your situation.
Sometimes I feel stress without any reason,stress,low,information,study,"You are not alone, and it's okay to seek help."
Sometimes I feel without stress any,stress,high,crisis,family,Try taking small steps to manage your situation.
My situation family is making me feel stress,stress,medium,help,family,Seeking professional support could be beneficial.
I feel low levels of sadness recently,sadness,low,general,social,"You are not alone, and it's okay to seek help."
Everything feels overwhelming my study,sadness,low,information,study,It might help to take a break and relax.
Everything feels in overwhelming my work,neutral,medium,help,work,It might help to take a break and relax.
My work situation is making me feel anxiety,anxiety,medium,help,work,It might help to take a break and relax.
I don't know how to handle this stress anymore,stress,low,information,social,Consider talking to someone you trust.
My family situation is making me feel anger,anger,low,general,family,"You are not alone, and it's okay to seek help."
I feel downness because of my family,sadness,medium,crisis,family,"You are not alone, and it's okay to seek help."
I am dealing with and it is getting high,neutral,high,general,family,Consider talking to someone you trust.
Sometimes I feel anxiety without any reason,anxiety,high,information,work,Consider talking to someone you trust.
Sometimes I feel stress without any reason,stress,low,vent,family,Consider talking to someone you trust.
My work situation is me making feel anger,anger,high,information,work,"You are not alone, and it's okay to seek help."
My health situation is making me feel anger,anger,low,general,health,"You are not alone, and it's okay to seek help."
I am dealing anger with and it is getting low,anger,low,crisis,health,"You are not alone, and it's okay to seek help."
I don't know how to handle this downness anymore,sadness,high,crisis,health,It sounds like you're going through something difficult.
feel I high levels of anger recently,anger,high,crisis,social,"You are not alone, and it's okay to seek help."
I feel medium levels of anger recently,anger,medium,vent,study,It sounds like you're going through something difficult.
Sometimes I feel without neutral any reason,neutral,high,help,health,Consider talking to someone you trust.
I feel levels low of stress recently,stress,low,help,work,It sounds like you're going through something difficult.
I don't know how to handle this sadness anymore,sadness,high,help,family,Try taking small steps to manage your situation.
Lately my study has been causing me downness,sadness,high,general,study,Seeking professional support could be beneficial.
I don't know how to handle this anger anymore,anger,low,crisis,family,Seeking professional support could be beneficial.
Sometimes I feel anxiety without any reason,anxiety,high,vent,social,Consider talking to someone you trust.
I feel because of health my,stress,low,information,health,Try taking small steps to manage your situation.
I am dealing with sadness and it is getting low,sadness,low,vent,study,It sounds like you're going through something difficult.
Lately my study has been causing me anxiety,anxiety,low,general,study,Consider talking to someone you trust.
I feel high levels of stress recently,anxiety,high,crisis,work,"You are not alone, and it's okay to seek help."
Lately my family has been causing me anxiety,anxiety,high,general,family,Seeking professional support could be beneficial.
I stress because of my study,stress,high,crisis,study,It might help to take a break and relax.
I feel neutral because my of study,neutral,medium,general,study,Consider talking to someone you trust.
Everything feels overwhelming in family my,anxiety,medium,general,family,Try taking small steps to manage your situation.
Lately my study has been causing me stress,stress,low,help,study,"You are not alone, and it's okay to seek help."
I am dealing with unhappyness and it is getting low,sadness,low,vent,health,Consider talking to someone you trust.
I feel low levels of anxiety recently,anxiety,low,help,family,It might help to take a break and relax.
Everything feels overwhelming in my family,anger,high,help,family,Seeking professional support could be beneficial.
Lately my work has been causing me stress,stress,high,vent,work,Seeking professional support could be beneficial.
I feel low levels of anxiety recently,anxiety,low,vent,study,Consider talking to someone you trust.
I don't know how to handle this sadness anymore,sadness,low,information,social,Seeking professional support could be beneficial.
Everything feels overwhelming in my health,anxiety,medium,information,health,It might help to take a break and relax.
feels Everything overwhelming in my family,neutral,medium,help,family,Seeking professional support could be beneficial.
Everything overwhelming in my family,sadness,high,information,family,"You are not alone, and it's okay to seek help."
Sometimes I feel anger without any reason,anger,low,information,work,Consider talking to someone you trust.
I am dealing with stress and it is getting medium,stress,medium,crisis,health,It sounds like you're going through something difficult.
Everything overwhelming feels in my study,anxiety,high,information,study,"You are not alone, and it's okay to seek help."
I am dealing with neutral and it is getting medium,neutral,medium,crisis,social,Consider talking to someone you trust.
I feel low levels of stress recently,stress,low,information,family,It might help to take a break and relax.
I feel stress because of my study,stress,medium,crisis,study,Try taking small steps to manage your situation.
Everything feels overwhelming in my study,neutral,low,crisis,study,"You are not alone, and it's okay to seek help."
I am dealing with stress and it is getting low,stress,low,help,study,Consider talking to someone you trust.
Lately my study has been causing me neutral,neutral,medium,general,study,It sounds like you're going through something difficult.
Lately my has work been causing me anger,anger,low,general,work,It sounds like you're going through something difficult.
Everything feels overwhelming in my work,anxiety,low,crisis,work,It might help to take a break and relax.
I don't know how to handle this neutral anymore,neutral,high,information,social,It sounds like you're going through something difficult.
I am dealing with stress and is it getting high,stress,high,information,social,Seeking professional support could be beneficial.
I don't know to handle this sadness anymore,sadness,medium,help,family,Consider talking to someone you trust.
I am dealing with anxiety and it getting is medium,anxiety,medium,general,study,Try taking small steps to manage your situation.
Lately my social has been causing me,anxiety,low,help,social,It might help to take a break and relax.
Sometimes I feel stress without any reason,stress,medium,information,health,"You are not alone, and it's okay to seek help."
My social situation is making me feel neutral,neutral,low,vent,social,It might help to take a break and relax.
I don't know how to handle this stress anymore,anxiety,high,help,study,Try taking small steps to manage your situation.
Sometimes I feel anger without any reason,anger,medium,crisis,family,Consider talking to someone you trust.
Sometimes I feel anxiety without any reason,anxiety,low,help,health,It might help to take a break and relax.
Sometimes I feel stress any reason,stress,high,vent,work,Consider talking to someone you trust.
Everything feels overwhelming in my work,sadness,high,general,work,Try taking small steps to manage your situation.
I don't know how to handle this stress anymore,stress,low,crisis,family,Consider talking to someone you trust.
I neutral feel because of my work,neutral,high,vent,work,It sounds like you're going through something difficult.
Everything feels in my social,anxiety,medium,information,social,Try taking small steps to manage your situation.
I am dealing with anger and it is getting high,anger,high,crisis,family,Seeking professional support could be beneficial.
I am dealing with unhappyness and it is getting high,sadness,high,information,work,Consider talking to someone you trust.
I feel neutral because of my study,neutral,medium,help,study,It sounds like you're going through something difficult.
My study situation is making feel stress,stress,medium,help,study,Consider talking to someone you trust.
Everything feels overwhelming in my work,neutral,high,information,work,It sounds like you're going through something difficult.
Lately my social has been causing me neutral,neutral,medium,vent,social,"You are not alone, and it's okay to seek help."
Lately my work has been causing me unhappyness,sadness,low,help,work,Try taking small steps to manage your situation.
Everything feels overwhelming in social my,stress,high,crisis,social,Seeking professional support could be beneficial.
I am dealing with neutral it is getting medium,neutral,medium,crisis,study,It sounds like you're going through something difficult.
I feel anger because of my work,anger,medium,general,work,Seeking professional support could be beneficial.
Everything feels overwhelming in my study,stress,low,crisis,study,It might help to take a break and relax.
I am dealing with neutral and it is getting high,neutral,high,crisis,family,Consider talking to someone you trust.
I am dealing with stress and it is getting medium,anxiety,medium,information,study,"You are not alone, and it's okay to seek help."
I feel low levels of stress recently,stress,low,vent,work,Seeking professional support could be beneficial.
My health situation is making me feel stress,stress,low,vent,health,It might help to take a break and relax.
I don't know how to handle this sadness anymore,sadness,high,help,study,"You are not alone, and it's okay to seek help."
I don't how know to handle sadness anymore,sadness,high,vent,family,Consider talking to someone you trust.
don't I know how to handle this stress anymore,stress,high,vent,family,It sounds like you're going through something difficult.
I feel stress because of my family,stress,low,information,family,Consider talking to someone you trust.
I feel stress because of my health,stress,medium,help,health,Consider talking to someone you trust.
Sometimes I feel stress without any reason,stress,high,crisis,work,Consider talking to someone you trust.
Sometimes I feel anger any without reason,anger,medium,general,health,It sounds like you're going through something difficult.
Lately my family has been causing me unhappyness,sadness,high,help,family,Seeking professional support could be beneficial.
I am dealing with anxiety and it is getting medium,anxiety,medium,vent,work,Consider talking to someone you trust.
I feel low of stress recently,stress,low,help,study,Seeking professional support could be beneficial.
I feel stress because my of study,stress,medium,vent,study,It might help to take a break and relax.
feels Everything overwhelming in my study,sadness,medium,help,study,Seeking professional support could be beneficial.
I don't know how to handle anger this anymore,anger,high,crisis,study,"You are not alone, and it's okay to seek help."
I feel high levels of anxiety recently,anxiety,high,information,study,It might help to take a break and relax.
I don't know how to handle this neutral anymore,neutral,high,vent,study,Consider talking to someone you trust.
I feel anxiety because of my social,anxiety,high,help,social,"You are not alone, and it's okay to seek help."
I don't know how to handle this anymore anxiety,anxiety,medium,information,work,"You are not alone, and it's okay to seek help."
Lately my health has been me causing stress,stress,medium,crisis,health,It might help to take a break and relax.
Everything overwhelming in my health,neutral,medium,crisis,health,Consider talking to someone you trust.
Lately my family has been causing me neutral,neutral,low,general,family,It might help to take a break and relax.
Sometimes I feel without anger any reason,anger,medium,vent,work,It sounds like you're going through something difficult.
Sometimes I feel anger without any reason,anger,low,help,family,It might help to take a break and relax.
I medium feel levels of nervous recently,anxiety,medium,crisis,health,It might help to take a break and relax.
My situation family is making me feel anxiety,anxiety,low,vent,family,It might help to take a break and relax.
Everything feels overwhelming in my social,anger,high,help,social,It sounds like you're going through something difficult.
Everything feels overwhelming in my work,sadness,medium,help,work,It might help to take a break and relax.
I don't know how to handle this anger anymore,anger,low,help,study,Try taking small steps to manage your situation.
I feel sadness because of my study,sadness,medium,crisis,study,"You are not alone, and it's okay to seek help."
Sometimes I feel sadness without any,sadness,high,help,study,"You are not alone, and it's okay to seek help."
I feel stress because of my study,stress,low,help,study,"You are not alone, and it's okay to seek help."
Sometimes I feel anger any without reason,anger,high,help,family,It sounds like you're going through something difficult.
Sometimes I feel neutral without any reason,neutral,high,crisis,social,Try taking small steps to manage your situation.
I feel high levels of unhappyness recently,sadness,high,help,social,"You are not alone, and it's okay to seek help."
Lately my family has been causing sadness me,sadness,high,vent,family,Seeking professional support could be beneficial.
family My is making me feel neutral,neutral,high,help,family,Consider talking to someone you trust.
Sometimes I feel anger without any reason,anger,medium,information,family,It sounds like you're going through something difficult.
I feel high of stress recently,stress,high,crisis,family,Seeking professional support could be beneficial.
My work situation is making me feel stress,stress,medium,crisis,work,It might help to take a break and relax.
Everything feels overwhelming in my health,stress,high,information,health,Try taking small steps to manage your situation.
Everything feels overwhelming in my study,neutral,high,general,study,It sounds like you're going through something difficult.
I feel medium levels of downness recently,sadness,medium,general,family,Try taking small steps to manage your situation.
Lately my health has been causing me anxiety,anxiety,high,vent,health,It sounds like you're going through something difficult.
I am dealing with and neutral it is getting low,neutral,low,information,study,Seeking professional support could be beneficial.
Lately my social has been causing me anger,anger,high,information,social,It sounds like you're going through something difficult.
I feel medium levels of stress recently,stress,medium,general,study,"You are not alone, and it's okay to seek help."
I don't know how to handle this neutral anymore,neutral,medium,vent,study,"You are not alone, and it's okay to seek help."
I Sometimes feel anger without any reason,anger,high,information,health,It might help to take a break and relax.
Sometimes I feel anger without any reason,anger,low,crisis,family,"You are not alone, and it's okay to seek help."
I don't know to handle this anger anymore,anger,high,crisis,study,Consider talking to someone you trust.
I feel high levels of stress recently,stress,high,vent,social,Seeking professional support could be beneficial.
I don't know to handle this anger anymore,anger,low,crisis,social,It sounds like you're going through something difficult.
I don't know how to handle this anger anymore,anger,high,information,work,"You are not alone, and it's okay to seek help."
My social situation is making me feel neutral,neutral,low,crisis,social,Seeking professional support could be beneficial.
Everything overwhelming feels in my health,anger,medium,general,health,It might help to take a break and relax.
I am dealing with stress and is it getting high,stress,high,general,study,"You are not alone, and it's okay to seek help."
Sometimes I feel without sadness any reason,sadness,high,vent,health,Seeking professional support could be beneficial.
Everything feels overwhelming in my health,sadness,medium,information,health,Consider talking to someone you trust.
I don't know how to handle this unhappyness anymore,sadness,low,crisis,study,It sounds like you're going through something difficult.
Lately my study has causing been me anger,anger,low,information,study,Try taking small steps to manage your situation.
Sometimes I feel neutral without any reason,neutral,high,vent,social,It might help to take a break and relax.
My study situation is making me feel,stress,medium,general,study,It might help to take a break and relax.
My situation is me making feel anger,anger,high,help,health,Consider talking to someone you trust.
My social situation is making me feel stress,stress,high,help,social,"You are not alone, and it's okay to seek help."
Everything feels in my social,sadness,low,general,social,Consider talking to someone you trust.
Lately my health has been causing me neutral,neutral,medium,vent,health,Consider talking to someone you trust.
feel high levels of neutral recently,neutral,high,vent,study,It sounds like you're going through something difficult.
I feel stress of my social,stress,high,vent,social,It might help to take a break and relax.
I feel levels high of recently,neutral,high,vent,health,It might help to take a break and relax.
I feel high levels neutral of recently,neutral,high,help,health,It sounds like you're going through something difficult.
Lately my social has been causing me anger,anger,medium,general,social,It sounds like you're going through something difficult.
Sometimes I stress without any reason,stress,medium,crisis,social,It might help to take a break and relax.
I high levels of anger recently,anger,high,vent,health,Seeking professional support could be beneficial.
I don't know how handle this neutral anymore,neutral,medium,crisis,social,It might help to take a break and relax.
I feel sadness because of my family,sadness,high,help,family,It might help to take a break and relax.
My social situation making me feel anger,anger,medium,vent,social,It sounds like you're going through something difficult.
study situation making is me feel neutral,neutral,high,crisis,study,Try taking small steps to manage your situation.
Sometimes I feel anxiety without reason any,anxiety,medium,general,work,Seeking professional support could be beneficial.
Everything overwhelming feels in my health,stress,medium,vent,health,Try taking small steps to manage your situation.
my Lately study has been causing me stress,stress,low,vent,study,"You are not alone, and it's okay to seek help."
My family situation is making me feel neutral,neutral,low,help,family,It might help to take a break and relax.
I feel levels medium of stress recently,anxiety,medium,information,health,Seeking professional support could be beneficial.
Sometimes I feel neutral without any reason,neutral,low,crisis,work,It sounds like you're going through something difficult.
I don't know how handle to stress anymore,stress,medium,vent,social,"You are not alone, and it's okay to seek help."
I feel sadness because of my health,sadness,low,general,health,Consider talking to someone you trust.
I don't know to handle this neutral anymore,neutral,medium,information,social,Consider talking to someone you trust.
My situation family is making me feel stress,stress,medium,crisis,family,It sounds like you're going through something difficult.
I feel sadness because of my social,sadness,high,general,social,It sounds like you're going through something difficult.
I feel stress because of my study,stress,high,vent,study,It sounds like you're going through something difficult.
I feel high levels of anger recently,anger,high,information,work,Try taking small steps to manage your situation.
feel sadness because of my health,sadness,low,help,health,Consider talking to someone you trust.
Lately my family has been causing me nervous,anxiety,low,general,family,"You are not alone, and it's okay to seek help."
My health situation is making me feel neutral,neutral,high,help,health,"You are not alone, and it's okay to seek help."
Everything overwhelming in my social,sadness,medium,general,social,It sounds like you're going through something difficult.
I am dealing with neutral and it is medium getting,neutral,medium,vent,work,Seeking professional support could be beneficial.
I feel neutral because of my work,neutral,medium,information,work,Seeking professional support could be beneficial.
I feel high levels of anger recently,anger,high,help,family,It sounds like you're going through something difficult.
I don't know how handle to this stress anymore,stress,low,crisis,family,It sounds like you're going through something difficult.
Sometimes I feel neutral without reason any,neutral,low,help,social,Seeking professional support could be beneficial.
Sometimes I feel anger without any reason,anger,high,help,social,It might help to take a break and relax.
I feel medium levels of nervous recently,anxiety,medium,general,health,Seeking professional support could be beneficial.
I don't know how to handle this stress anymore,stress,low,help,work,Seeking professional support could be beneficial.
My health situation is making me feel sadness,sadness,low,information,health,It sounds like you're going through something difficult.
I feel medium levels of neutral recently,neutral,medium,information,health,It might help to take a break and relax.
I don't know how to handle this neutral anymore,neutral,low,information,work,Try taking small steps to manage your situation.
My study is situation making me anxiety,anxiety,medium,crisis,study,"You are not alone, and it's okay to seek help."
Sometimes I feel anger without any reason,anger,high,crisis,work,It sounds like you're going through something difficult.
My family situation making feel me neutral,neutral,medium,help,family,Consider talking to someone you trust.
I don't know how handle to this neutral anymore,neutral,low,help,work,Seeking professional support could be beneficial.
I feel stress because of my work,stress,high,vent,work,"You are not alone, and it's okay to seek help."
I dealing am with unhappyness and it is getting medium,sadness,medium,crisis,work,"You are not alone, and it's okay to seek help."
Lately my social been causing me downness,sadness,high,vent,social,Consider talking to someone you trust.
I don't know how to handle this stress anymore,anxiety,medium,general,family,It might help to take a break and relax.
I feel low levels of neutral recently,neutral,low,vent,study,Try taking small steps to manage your situation.
I don't know to how handle this neutral anymore,neutral,high,information,study,Seeking professional support could be beneficial.
I am dealing with sadness and it is getting low,sadness,low,general,health,Seeking professional support could be beneficial.
My health is situation making me feel neutral,neutral,low,help,health,"You are not alone, and it's okay to seek help."
I don't know how to handle this sadness anymore,sadness,high,vent,social,Seeking professional support could be beneficial.
I know don't how to handle this neutral,neutral,high,vent,study,Try taking small steps to manage your situation.
I don't know how to handle this stress anymore,stress,medium,general,family,It might help to take a break and relax.
feels Everything overwhelming in my study,stress,low,crisis,study,It might help to take a break and relax.
Sometimes I feel anxiety without any reason,anxiety,low,vent,social,Seeking professional support could be beneficial.
My social situation is me making feel anger,anger,high,vent,social,It might help to take a break and relax.
Everything feels overwhelming my in family,sadness,low,help,family,Try taking small steps to manage your situation.
feels Everything overwhelming in my social,neutral,high,vent,social,"You are not alone, and it's okay to seek help."
I anger feel because of my work,anger,low,information,work,It might help to take a break and relax.
I don't know how to handle this neutral anymore,neutral,high,crisis,study,It might help to take a break and relax.
I am dealing with neutral and it is getting low,neutral,low,crisis,work,Try taking small steps to manage your situation.
I am dealing unhappyness with and it is getting medium,sadness,medium,help,work,It sounds like you're going through something difficult.
I levels low of anger recently,anger,low,help,social,It sounds like you're going through something difficult.
I feel high levels of neutral recently,neutral,high,vent,family,Consider talking to someone you trust.
I feel low levels anxiety recently,anxiety,high,crisis,health,"You are not alone, and it's okay to seek help."
Sometimes I feel without neutral any reason,neutral,low,vent,family,Seeking professional support could be beneficial.
work My situation is making me feel neutral,neutral,medium,information,work,"You are not alone, and it's okay to seek help."
I don't know how to handle this sadness anymore,sadness,medium,vent,study,It sounds like you're going through something difficult.
don't I know how to handle this stress anymore,stress,high,crisis,family,Try taking small steps to manage your situation.
Sometimes I feel without any reason,anxiety,low,help,health,It might help to take a break and relax.
I am dealing with anger and it is getting low,anger,low,information,family,Seeking professional support could be beneficial.
Sometimes I anxiety feel without any reason,anxiety,medium,general,work,It might help to take a break and relax.
I don't know how to handle neutral anymore,neutral,high,information,work,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my social,anxiety,high,crisis,social,It might help to take a break and relax.
Lately social my has been causing me neutral,neutral,low,general,social,"You are not alone, and it's okay to seek help."
I feel medium levels of anger recently,anger,medium,information,social,It sounds like you're going through something difficult.
my Lately work has been me neutral,neutral,high,crisis,work,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my family,stress,medium,crisis,family,Seeking professional support could be beneficial.
Everything feels overwhelming in my social,neutral,high,vent,social,Seeking professional support could be beneficial.
am I dealing with anxiety and it is getting high,anxiety,high,help,study,It sounds like you're going through something difficult.
I don't know how to handle this sadness anymore,sadness,low,general,health,Consider talking to someone you trust.
I feel medium levels of neutral recently,neutral,medium,general,family,Try taking small steps to manage your situation.
Sometimes I feel sadness without any reason,sadness,high,vent,health,It sounds like you're going through something difficult.
Everything feels in overwhelming my work,neutral,high,information,work,It might help to take a break and relax.
Lately my work been causing sadness me,sadness,medium,help,work,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my work,anger,high,vent,work,Try taking small steps to manage your situation.
My social situation is making me feel stress,anxiety,low,information,social,"You are not alone, and it's okay to seek help."
my family has been causing me anger,anger,medium,crisis,family,It might help to take a break and relax.
Everything feels overwhelming in my family,anxiety,low,crisis,family,It might help to take a break and relax.
I feel stress because of my family,stress,high,general,family,Consider talking to someone you trust.
feel stress because my of social,stress,high,crisis,social,Seeking professional support could be beneficial.
I feel high levels of stress recently,anxiety,medium,general,work,Seeking professional support could be beneficial.
I feel anger because of my study,anger,high,vent,study,Consider talking to someone you trust.
I feel downness because of my work,sadness,medium,help,work,It might help to take a break and relax.
Sometimes I feel neutral without any reason,neutral,high,general,health,Seeking professional support could be beneficial.
My study situation is making me feel anger,anger,medium,help,study,Seeking professional support could be beneficial.
I feel because anxiety of my social,anxiety,low,vent,social,Seeking professional support could be beneficial.
I am dealing with anxiety and it is getting high,anxiety,high,information,study,It sounds like you're going through something difficult.
My situation work is making me feel sadness,sadness,medium,help,work,Consider talking to someone you trust.
I feel neutral because of my social,neutral,low,crisis,social,Seeking professional support could be beneficial.
My work situation is making me feel anxiety,anxiety,medium,crisis,work,It sounds like you're going through something difficult.
I feel medium levels of anger recently,anger,medium,help,health,It sounds like you're going through something difficult.
I am dealing with stress and it is getting medium,anxiety,medium,general,work,Consider talking to someone you trust.
I feel low of levels anxiety recently,anxiety,low,help,family,Try taking small steps to manage your situation.
Lately my social has been causing me stress,stress,low,general,social,It might help to take a break and relax.
I feel medium levels of stress recently,anxiety,medium,help,health,It might help to take a break and relax.
My study situation is making me feel anger,anger,low,information,study,"You are not alone, and it's okay to seek help."
Sometimes I feel stress any without reason,anxiety,medium,help,work,It sounds like you're going through something difficult.
I feel because of my study,anger,medium,general,study,Seeking professional support could be beneficial.
Everything feels overwhelming in health my,anger,low,vent,health,Seeking professional support could be beneficial.
Lately my work has been causing me anger,anger,low,vent,work,Consider talking to someone you trust.
I am dealing with sadness and it is getting high,sadness,high,information,health,Consider talking to someone you trust.
I feel high levels of neutral recently,neutral,high,help,work,It sounds like you're going through something difficult.
Lately my has social been causing me sadness,sadness,low,vent,social,It might help to take a break and relax.
I Sometimes feel anxiety without any reason,anxiety,medium,help,health,It might help to take a break and relax.
I don't know how to handle this stress anymore,stress,low,crisis,family,It might help to take a break and relax.
I am dealing with sadness and it is getting medium,sadness,medium,information,health,Try taking small steps to manage your situation.
Sometimes I feel stress any without reason,stress,high,general,study,Try taking small steps to manage your situation.
My health situation is making me feel anger,anger,low,help,health,It might help to take a break and relax.
I feel sadness because of my family,sadness,low,information,family,It sounds like you're going through something difficult.
Sometimes I feel anxiety any without reason,anxiety,low,vent,health,Consider talking to someone you trust.
I am dealing with neutral and it is getting high,neutral,high,crisis,family,"You are not alone, and it's okay to seek help."
I don't know how to handle this neutral anymore,neutral,medium,information,work,Seeking professional support could be beneficial.
I am dealing with neutral and it is getting low,neutral,low,information,work,"You are not alone, and it's okay to seek help."
family my has been causing me neutral,neutral,low,crisis,family,Consider talking to someone you trust.
I am dealing with anger and it is getting low,anger,low,vent,family,Try taking small steps to manage your situation.
Lately my family been has causing me anxiety,anxiety,medium,general,family,It might help to take a break and relax.
feel I medium levels of neutral recently,neutral,medium,information,family,Seeking professional support could be beneficial.
I feel neutral because of my social,neutral,high,help,social,It might help to take a break and relax.
I am dealing with stress and it is getting high,stress,high,vent,health,It might help to take a break and relax.
Everything feels overwhelming in my work,stress,medium,help,work,Try taking small steps to manage your situation.
I know don't how to handle this anger anymore,anger,low,information,study,It might help to take a break and relax.
I don't know how to handle this stress anymore,stress,low,information,health,Seeking professional support could be beneficial.
My study situation is making me feel anger,anger,medium,help,study,It might help to take a break and relax.
Everything feels overwhelming in my social,sadness,high,information,social,Consider talking to someone you trust.
My study situation is making me feel stress,stress,low,help,study,Consider talking to someone you trust.
I am dealing with sadness and it is getting high,sadness,high,help,social,Try taking small steps to manage your situation.
feel anxiety of because my study,anxiety,medium,crisis,study,It sounds like you're going through something difficult.
I anxiety feel because of my social,anxiety,medium,general,social,It sounds like you're going through something difficult.
My social situation is making me feel anger,anger,high,vent,social,It sounds like you're going through something difficult.
I feel stress because of my study,stress,low,help,study,It might help to take a break and relax.
I am dealing with anxiety and it is getting,anxiety,high,general,study,Seeking professional support could be beneficial.
I am dealing with neutral and it is getting medium,neutral,medium,vent,study,Try taking small steps to manage your situation.
I know don't how to handle this sadness anymore,sadness,high,help,family,Consider talking to someone you trust.
am dealing with neutral and it is getting medium,neutral,medium,general,study,It sounds like you're going through something difficult.
I feel stress because of my health,anxiety,high,general,health,Try taking small steps to manage your situation.
My health situation is making me feel stress,anxiety,high,general,health,Try taking small steps to manage your situation.
I don't know how to handle this neutral anymore,neutral,low,vent,work,It might help to take a break and relax.
Everything feels overwhelming in family my,sadness,high,crisis,family,Seeking professional support could be beneficial.
My work situation is me making feel neutral,neutral,medium,vent,work,Consider talking to someone you trust.
I don't know how to this handle anger anymore,anger,high,help,work,Seeking professional support could be beneficial.
I am with anxiety and it is getting medium,anxiety,medium,help,health,It sounds like you're going through something difficult.
I am dealing with anxiety and it is getting high,anxiety,high,general,health,Seeking professional support could be beneficial.
My health situation is making me feel sadness,sadness,medium,help,health,It might help to take a break and relax.
I am dealing with anxiety and it is getting medium,anxiety,medium,information,health,Consider talking to someone you trust.
I don't know how to handle this anymore anxiety,anxiety,medium,vent,work,Try taking small steps to manage your situation.
Lately my health has been causing me sadness,sadness,low,general,health,Seeking professional support could be beneficial.
Everything overwhelming feels in my social,neutral,low,general,social,It sounds like you're going through something difficult.
Lately my work been causing me sadness,sadness,low,vent,work,Try taking small steps to manage your situation.
I don't know how to handle this anymore,stress,medium,information,family,It might help to take a break and relax.
Sometimes I feel sadness without any reason,sadness,high,vent,social,It might help to take a break and relax.
I feel high levels of nervous recently,anxiety,high,information,social,It sounds like you're going through something difficult.
Sometimes I feel unhappyness any without reason,sadness,low,information,work,Try taking small steps to manage your situation.
